O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
11-1011.00,Chief Executives,1.B.1.a,Realistic,OI,Occupational Interests,1.26,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.b,Investigative,OI,Occupational Interests,3.05,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.c,Artistic,OI,Occupational Interests,2.16,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.d,Social,OI,Occupational Interests,3.54,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.e,Enterprising,OI,Occupational Interests,6.96,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.f,Conventional,OI,Occupational Interests,4.97,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-1011.00,Chief Executives,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-1011.03,Chief Sustainability Officers,1.B.1.a,Realistic,OI,Occupational Interests,2.04,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.b,Investigative,OI,Occupational Interests,4.78,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.c,Artistic,OI,Occupational Interests,2.48,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.d,Social,OI,Occupational Interests,3.55,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.e,Enterprising,OI,Occupational Interests,6.68,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.f,Conventional,OI,Occupational Interests,4.49,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,11/2023,Machine Learning
11-1011.03,Chief Sustainability Officers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-1021.00,General and Operations Managers,1.B.1.a,Realistic,OI,Occupational Interests,2.20,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.37,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.29,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.d,Social,OI,Occupational Interests,3.38,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.34,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-1021.00,General and Operations Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-1031.00,Legislators,1.B.1.a,Realistic,OI,Occupational Interests,1.54,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.b,Investigative,OI,Occupational Interests,3.35,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.c,Artistic,OI,Occupational Interests,2.70,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.d,Social,OI,Occupational Interests,3.69,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.e,Enterprising,OI,Occupational Interests,5.52,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.f,Conventional,OI,Occupational Interests,3.62,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,4.00,11/2023,Machine Learning
11-1031.00,Legislators,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
11-2011.00,Advertising and Promotions Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.69,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.87,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.d,Social,OI,Occupational Interests,3.14,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.43,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-2011.00,Advertising and Promotions Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,3.00,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.90,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.c,Artistic,OI,Occupational Interests,2.45,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.d,Social,OI,Occupational Interests,2.82,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.f,Conventional,OI,Occupational Interests,4.70,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-2021.00,Marketing Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.49,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.b,Investigative,OI,Occupational Interests,1.67,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.c,Artistic,OI,Occupational Interests,1.36,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.d,Social,OI,Occupational Interests,3.37,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.e,Enterprising,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.f,Conventional,OI,Occupational Interests,5.53,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
11-2022.00,Sales Managers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.b,Investigative,OI,Occupational Interests,2.34,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.c,Artistic,OI,Occupational Interests,3.67,02/2026,Machine Learning/Expert
11-2032.00,Public Relations Managers,1.B.1.d,Social,OI,Occupational Interests,4.18,02/2026,Machine Learning/Expert
