O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
11-1011.00,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,93,08/2023,Incumbent
11-1011.00,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8833,"Preside over, or serve on, boards of directors, management committees, or other governing boards.",Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,Core,94,08/2023,Incumbent
11-1011.00,Chief Executives,8850,Organize or approve promotional campaigns.,Core,95,08/2023,Incumbent
11-1011.00,Chief Executives,8842,Nominate citizens to boards or commissions.,Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8851,"Conduct or direct investigations or hearings to resolve complaints or violations of laws, or testify at such hearings.",Supplemental,95,08/2023,Incumbent
11-1011.00,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8853,"Prepare bylaws approved by elected officials, and ensure that bylaws are enforced.",Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Supplemental,94,08/2023,Incumbent
11-1011.00,Chief Executives,8852,"Represent organizations or promote their objectives at official functions, or delegate representatives to do so.",Supplemental,94,08/2023,Incumbent
11-1011.03,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,27,08/2021,Occupational Expert
11-1011.03,Chief Sustainability Officers,15369,Conduct risk assessments related to sustainability and the environment.,Core,27,08/2021,Occupational Expert
11-1021.00,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,82,08/2023,Incumbent
11-1021.00,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,Core,82,08/2023,Incumbent
